theta,ratio above
0.5,1.0
0.525,0.9995956328346138
0.55,0.9991912656692277
0.575,0.9991912656692277
0.6,0.9991912656692277
0.625,0.9991912656692277
0.65,0.9987868985038415
0.675,0.9983825313384553
0.7,0.9979781641730692
0.725,0.9979781641730692
0.75,0.9963606955115245
0.775,0.9951475940153659
0.8,0.9947432268499797
0.825,0.9931257581884351
0.8500000000000001,0.9927213910230489
0.875,0.9919126566922766
0.9,0.9902951880307319
0.925,0.9890820865345734
0.95,0.9862515163768703
0.9750000000000001,0.978568540234533
1.0,0.0
