theta,ratio above
0.5,1.0
0.525,1.0
0.55,0.9987868985038415
0.575,0.9987868985038415
0.6,0.9987868985038415
0.625,0.9983825313384553
0.65,0.997573797007683
0.675,0.997573797007683
0.7,0.9971694298422968
0.725,0.9963606955115245
0.75,0.9963606955115245
0.775,0.9951475940153659
0.8,0.9951475940153659
0.825,0.9943388596845936
0.8500000000000001,0.9931257581884351
0.875,0.9915082895268904
0.9,0.9911039223615042
0.925,0.9902951880307319
0.95,0.9894864536999596
0.9750000000000001,0.9850384148807116
1.0,0.0
