ratio,F1
0.0,0.9788583509513742
0.015,0.9905163329820865
0.03,0.9968520461699895
0.045,0.9978991596638656
0.06,0.9978991596638656
0.075,0.9978991596638656
0.09,0.9978991596638656
0.105,0.9978991596638656
0.12,0.9978991596638656
0.135,0.9978991596638656
0.15,0.9978991596638656
0.16499999999999998,0.9978991596638656
0.18,0.9978991596638656
0.195,0.9978991596638656
0.21,0.9978991596638656
0.22499999999999998,0.9978991596638656
0.24,0.9978991596638656
0.255,0.9978991596638656
0.27,0.9978991596638656
0.285,0.9978991596638656
0.3,0.9978991596638656
