,ratio,f1_all
0,0.0,0.8125000000000001
1,0.015789473684210527,0.8125000000000001
2,0.031578947368421054,0.8387096774193549
3,0.04736842105263158,0.9032258064516129
4,0.06315789473684211,0.9032258064516129
5,0.07894736842105263,0.9032258064516129
6,0.09473684210526316,0.9333333333333333
7,0.1105263157894737,0.9333333333333333
8,0.12631578947368421,0.9333333333333333
9,0.14210526315789473,0.9333333333333333
10,0.15789473684210525,0.9333333333333333
11,0.1736842105263158,0.9333333333333333
12,0.18947368421052632,0.9333333333333333
13,0.20526315789473684,0.9333333333333333
14,0.2210526315789474,0.9655172413793104
15,0.2368421052631579,0.9655172413793104
16,0.25263157894736843,0.9655172413793104
17,0.26842105263157895,0.9655172413793104
18,0.28421052631578947,0.9655172413793104
19,0.3,1.0
